quantity,card name,color,cmc,scryfall ID,types,card text
1,Aether Spellbomb,"",1,48ef7938-7c68-4aeb-9403-4ab1af944a81,"Artifact","{U}, Sacrifice this artifact: Return target creature to its owner's hand. {1}, Sacrifice this artifact: Draw a card."
1,Ancestral Blade,"White",2,7902956b-8d64-4320-89b0-6f369ce1f410,"Artifact","When this Equipment enters, create a 1/1 white Soldier creature token, then attach this Equipment to it. Equipped creature gets +1/+1. Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)"
1,Barbed Spike,"White",2,c75c8631-e630-402b-a559-f1b1aa49763c,"Artifact","When this Equipment enters, create a 1/1 colorless Thopter artifact creature token with flying, then attach this Equipment to it. Equipped creature gets +1/+0. Equip {2}"
1,Bolas's Citadel,"Black",6,5a16665a-2600-460a-a5ad-417930fda62c,"Artifact","You may look at the top card of your library any time. You may play lands and cast spells from the top of your library. If you cast a spell this way, pay life equal to its mana value rather than pay its mana cost. {T}, Sacrifice ten nonland permanents: Each opponent loses 10 life."
1,Chromatic Sphere,"",1,fd71f597-ad12-4d2b-93af-3f8dfe4027b2,"Artifact","{1}, {T}, Sacrifice this artifact: Add one mana of any color. Draw a card."
1,Chromatic Star,"",1,c2e8d492-2c67-410b-b556-c157a14c4cec,"Artifact","{1}, {T}, Sacrifice this artifact: Add one mana of any color. When this artifact is put into a graveyard from the battlefield, draw a card."
1,Executioner's Capsule,"Black",1,73a54823-a5fd-4055-a435-a6bdbd6bedff,"Artifact","{1}{B}, {T}, Sacrifice this artifact: Destroy target nonblack creature."
1,Flayer Husk,"",1,20b394f9-644d-426e-801b-110774092018,"Artifact","Living weapon (When this Equipment enters, create a 0/0 black Phyrexian Germ creature token, then attach this to it.) Equipped creature gets +1/+1. Equip {2}"
1,Glass Casket,"White",2,02c5c395-ee8b-47fd-ac52-256354c19cdf,"Artifact","When this artifact enters, exile target creature an opponent controls with mana value 3 or less until this artifact leaves the battlefield."
1,Heraldic Banner,"",3,2199a8ad-0955-45df-8d74-77be2c40385b,"Artifact","As this artifact enters, choose a color. Creatures you control of the chosen color get +1/+0. {T}: Add one mana of the chosen color."
1,Malefic Scythe,"Black",2,89e2bc57-8f18-4ba1-a11b-9d69d029f56a,"Artifact","This Equipment enters with a soul counter on it. Equipped creature gets +1/+1 for each soul counter on this Equipment. Whenever equipped creature dies, put a soul counter on this Equipment. Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)"
1,Mask of Memory,"",2,c6c4dffd-0ae9-493d-afa4-d1eb8bdba582,"Artifact","Whenever equipped creature deals combat damage to a player, you may draw two cards. If you do, discard a card. Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)"
1,Mazemind Tome,"",2,f45072cd-e3f2-4090-b984-50ec8d360bf2,"Artifact","{T}, Put a page counter on this artifact: Scry 1. (Look at the top card of your library. You may put that card on the bottom.) {2}, {T}, Put a page counter on this artifact: Draw a card. When there are four or more page counters on this artifact, exile it. If you do, you gain 4 life."
1,Mnemonic Sphere,"Blue",2,6dd6a9d8-6ac3-49be-a87e-4d91fa8d96a3,"Artifact","{1}{U}, Sacrifice this artifact: Draw two cards. Channel — {U}, Discard this card: Draw a card."
1,Mortarpod,"",2,01ef59a9-df91-4ebd-a09b-59e42e07b073,"Artifact","Living weapon (When this Equipment enters, create a 0/0 black Phyrexian Germ creature token, then attach this to it.) Equipped creature gets +0/+1 and has ""Sacrifice this creature: This creature deals 1 damage to any target."" Equip {2}"
1,Portable Hole,"White",1,80fca8c0-ae3e-439e-b202-228b9f360e9a,"Artifact","When this artifact enters, exile target nonland permanent an opponent controls with mana value 2 or less until this artifact leaves the battlefield."
1,Prophetic Prism,"",2,261d621b-4dc3-49a0-a08b-40618270bec6,"Artifact","When this artifact enters, draw a card. {1}, {T}: Add one mana of any color."
1,Quick-Draw Dagger,"",3,d64110f4-c4b6-4966-a23a-8da7d1983499,"Artifact","Flash When this Equipment enters, attach it to target creature you control. That creature gains first strike until end of turn. Equipped creature gets +1/+1. Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)"
1,Renegade Map,"",1,ac063445-d0e2-4015-96dc-97098433f30a,"Artifact","This artifact enters tapped. {T}, Sacrifice this artifact: Search your library for a basic land card, reveal it, put it into your hand, then shuffle."
1,Untethered Express,"",4,dba729d8-fd5e-4183-806a-0997f443a58f,"Artifact","Trample Whenever this Vehicle attacks, put a +1/+1 counter on it. Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)"
1,Weatherlight,"",4,c86cf087-c50a-487a-bc1a-eee5410f14d9,"Artifact","Flying Whenever Weatherlight deals combat damage to a player, look at the top five cards of your library. You may reveal a historic card from among them and put it into your hand. Put the rest on the bottom of your library in a random order. (Artifacts, legendaries, and Sagas are historic.) Crew 3"
